NO,AREA,DSGN_INDS,GHG_EMS_2016,ENG_CNSM_2016,GHG_EMS_2017,ENG_CNSM_2017,GHG_EMS_2018,ENG_CNSM_2018,GHG_EMS_2019,ENG_CNSM_2019,GHG_EMS_2020,ENG_CNSM_2020
263,충청남도,전기전자,"42,601",815,"42,790",824,"38,772",777,"36,991",738,"18,746",377.2
265,충청남도,정유,"5,234,734","60,404.00","3,283,813","41,532.00","3,670,635","44,387.00","4,032,060","46,888.00","4,429,072","49,529.90"
266,충청남도,제조업,"19,201",386.1,"19,441",390,"21,739",409.5,"21,052",402.5,"21,560",408
267,충청남도,제지,"23,576",745,"35,515",717,"33,926",685,"33,528",677,"33,134",669.1
269,충청남도,철강,"98,868","1,822.00","180,679","3,250.00","186,323","3,352.00","146,585","2,673.00","115,322","2,131.50"
270,충청남도,폐기물,"101,204",674,"85,113",537,"83,619",534,"70,087",477,"63,144",448.1
272,충청북도,건물,"17,378",350,"17,620",353,"18,481",366,"18,235",364,"16,425",323
273,충청북도,광업,"60,656",294,"16,562",337,"15,993",325,"12,761",260,"13,707",279
274,충청북도,교통,"55,224",782,"54,681",774,"56,117",795,"53,499",758,"53,953",764
275,충청북도,기계,"18,778",382,"18,335",373,"18,329",373,"17,843",363,"17,217",350
